run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_d10-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_d10,4,2481895,5000000,1,3074,180100,1338118,2272198,11.4999,11.502,11.4966,11.5013,11.5016,11.4998,11.4999,11.4996,525.62,525.6,195.4,195.38,330.22,330.22,1022
regionft_random-MLP-Adult-age-d5000000-0,Adult,MLP,age,regionft_random,0,1082177,5000000,1,3083,159987,771276,1041382,11.4831,11.4983,11.4999,11.4988,11.496,11.4968,11.4956,11.4962,359.39,359.38,73.76,73.76,285.63,285.62,1024
regionft_random-MLP-Adult-age-d5000000-1,Adult,MLP,age,regionft_random,1,1007645,5000000,1,3086,160070,733791,971728,11.5079,11.4956,11.5038,11.5004,11.4999,11.5012,11.5007,11.5007,373.39,373.34,76.24,76.23,297.15,297.1,1024
regionft_random-MLP-Adult-age-d5000000-2,Adult,MLP,age,regionft_random,2,1060869,5000000,1,3089,159693,743583,1019078,11.5012,11.4989,11.4899,11.4963,11.4951,11.4952,11.4959,11.4959,337.43,337.4,67.06,67.05,270.37,270.35,1024
regionft_random-MLP-Adult-age-d5000000-3,Adult,MLP,age,regionft_random,3,1147544,5000000,1,3091,159232,770495,1091372,11.5035,11.4889,11.4957,11.4951,11.4947,11.4966,11.495,11.4945,366.36,366.33,74.58,74.57,291.78,291.76,1024
regionft_random-MLP-Adult-age-d5000000-4,Adult,MLP,age,regionft_random,4,1016032,5000000,1,3083,160656,733351,980506,11.5159,11.4982,11.4889,11.5,11.5008,11.5012,11.5011,11.501,334.04,334.02,66.38,66.37,267.66,267.65,1024
regionft_d10-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_d10,0,571937,5000000,1,151131,565324,571676,571873,14.4057,14.4296,14.4212,14.4223,14.4362,14.4255,14.4249,14.425,152.87,152.86,60.48,60.47,92.38,92.38,696
regionft_d10-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_d10,1,592823,5000000,1,154323,585783,592527,592728,14.4439,14.4174,14.4388,14.4195,14.4283,14.4323,14.4302,14.4304,167.38,167.38,74.92,74.92,92.46,92.46,793
regionft_d10-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_d10,2,542949,5000000,1,153060,537270,542732,542896,14.4459,14.4502,14.456,14.4416,14.4348,14.4367,14.437,14.4388,171.54,171.53,78.05,78.04,93.49,93.49,856
regionft_d10-GBDT-Credit-sex-d5000000-3,Credit,GBDT,sex,regionft_d10,3,588298,5000000,1,155251,581201,588018,588196,14.4823,14.4415,14.4294,14.4318,14.4383,14.4355,14.4345,14.4368,170.89,170.89,77.87,77.87,93.02,93.02,823
regionft_d10-GBDT-Credit-sex-d5000000-4,Credit,GBDT,sex,regionft_d10,4,624408,5000000,1,155423,616167,624060,624291,14.4521,14.4109,14.4224,14.4298,14.4317,14.4283,14.4324,14.4328,176.13,176.12,82.33,82.33,93.79,93.79,918
regionft_random-GBDT-Credit-sex-d5000000-0,Credit,GBDT,sex,regionft_random,0,101604,5000000,1,67639,101352,101597,101603,14.4733,14.4954,14.4852,14.4703,14.4742,14.4756,14.4722,14.4759,117.07,117.07,31.87,31.87,85.19,85.19,1024
regionft_random-GBDT-Credit-sex-d5000000-1,Credit,GBDT,sex,regionft_random,1,74834,5000000,1,54490,74735,74830,74832,14.5035,14.4878,14.5123,14.5058,14.4979,14.5071,14.501,14.5049,122.01,122.01,33.05,33.05,88.96,88.96,1024
regionft_random-GBDT-Credit-sex-d5000000-2,Credit,GBDT,sex,regionft_random,2,160878,5000000,1,92670,160385,160859,160872,14.5006,14.5203,14.4919,14.4999,14.4947,14.4979,14.4964,14.4963,118.77,118.77,33.2,33.2,85.57,85.57,1024
